trip_id,driver_id,rider_id,city,distance_km,fare_amount,status,payment_method,pickup_time,pickup_date,pickup_hour,pickup_day,time_of_day,trip_duration_mins,fare_per_km,day_type,fare_tier
15,6311,44486,San Francisco,1.74,4.88,Completed,Cash,2023-01-01 00:14:00,2023-01-01,0,Sunday,Night (0-6),5.22,2.8046,Weekend,Budget
16,6051,76028,Los Angeles,5.94,14.07,Completed,Cash,2023-01-01 00:15:00,2023-01-01,0,Sunday,Night (0-6),17.82,2.3687,Weekend,Standard
17,7420,87010,Los Angeles,9.4,24.1,No-Show,UPI,2023-01-01 00:16:00,2023-01-01,0,Sunday,Night (0-6),28.2,2.5638,Weekend,Premium
18,2184,83565,Boston,7.19,19.78,Completed,Card,2023-01-01 00:17:00,2023-01-01,0,Sunday,Night (0-6),21.57,2.751,Weekend,Premium
19,5555,66686,Seattle,4.49,13.35,Completed,UPI,2023-01-01 00:18:00,2023-01-01,0,Sunday,Night (0-6),13.47,2.9733,Weekend,Standard
20,4385,55284,Boston,5.22,13.43,Completed,Wallet,2023-01-01 00:19:00,2023-01-01,0,Sunday,Night (0-6),15.67,2.5728,Weekend,Standard
21,7396,15886,Seattle,13.13,30.11,Completed,UPI,2023-01-01 00:20:00,2023-01-01,0,Sunday,Night (0-6),39.38,2.2932,Weekend,Premium
22,9666,24412,Chicago,6.43,16.21,Completed,Cash,2023-01-01 00:21:00,2023-01-01,0,Sunday,Night (0-6),19.28,2.521,Weekend,Standard
23,3558,83992,New York,8.1,15.18,Completed,UPI,2023-01-01 00:22:00,2023-01-01,0,Sunday,Night (0-6),24.3,1.8741,Weekend,Standard
24,8849,70919,San Francisco,6.27,13.78,Completed,Card,2023-01-01 00:23:00,2023-01-01,0,Sunday,Night (0-6),18.82,2.1978,Weekend,Standard
25,3047,39415,Los Angeles,5.3,12.22,Completed,Wallet,2023-01-01 00:24:00,2023-01-01,0,Sunday,Night (0-6),15.9,2.3057,Weekend,Budget
26,3747,28056,Boston,9.34,17.28,Completed,Wallet,2023-01-01 00:25:00,2023-01-01,0,Sunday,Night (0-6),28.02,1.8501,Weekend,Standard
27,1189,95567,Seattle,6.77,16.78,Completed,UPI,2023-01-01 00:26:00,2023-01-01,0,Sunday,Night (0-6),20.32,2.4786,Weekend,Standard
28,3734,32772,Boston,5.45,15.63,Completed,UPI,2023-01-01 00:27:00,2023-01-01,0,Sunday,Night (0-6),16.35,2.8679,Weekend,Standard
29,4005,51388,San Francisco,9.32,20.11,Cancelled,Card,2023-01-01 00:28:00,2023-01-01,0,Sunday,Night (0-6),27.97,2.1577,Weekend,Premium
30,5658,62314,Chicago,7.76,14.05,Completed,UPI,2023-01-01 00:29:00,2023-01-01,0,Sunday,Night (0-6),23.28,1.8106,Weekend,Standard
31,2899,90316,Boston,1.5,8.16,Completed,Cash,2023-01-01 00:30:00,2023-01-01,0,Sunday,Night (0-6),4.5,5.44,Weekend,Budget
32,8734,84181,Los Angeles,6.23,13.16,Completed,UPI,2023-01-01 00:31:00,2023-01-01,0,Sunday,Night (0-6),18.68,2.1124,Weekend,Standard
33,2267,34924,San Francisco,4.94,12.42,Completed,Wallet,2023-01-01 00:32:00,2023-01-01,0,Sunday,Night (0-6),14.82,2.5142,Weekend,Budget
34,2528,58221,Los Angeles,7.47,17.27,Completed,Cash,2023-01-01 00:33:00,2023-01-01,0,Sunday,Night (0-6),22.42,2.3119,Weekend,Standard
35,4556,51381,New York,5.9,9.32,Completed,Cash,2023-01-01 00:34:00,2023-01-01,0,Sunday,Night (0-6),17.7,1.5797,Weekend,Budget
36,4890,55741,Boston,15.66,28.08,Completed,Card,2023-01-01 00:35:00,2023-01-01,0,Sunday,Night (0-6),46.98,1.7931,Weekend,Premium
37,9838,91019,Seattle,11.02,25.88,Completed,Card,2023-01-01 00:36:00,2023-01-01,0,Sunday,Night (0-6),33.07,2.3485,Weekend,Premium
38,6393,26965,San Francisco,3.69,8.58,Completed,Cash,2023-01-01 00:37:00,2023-01-01,0,Sunday,Night (0-6),11.07,2.3252,Weekend,Budget
39,9792,45430,Boston,9.22,22.43,Completed,Cash,2023-01-01 00:38:00,2023-01-01,0,Sunday,Night (0-6),27.67,2.4328,Weekend,Premium
40,9433,97272,New York,11.6,25.12,Completed,Card,2023-01-01 00:39:00,2023-01-01,0,Sunday,Night (0-6),34.8,2.1655,Weekend,Premium
41,8513,41807,San Francisco,8.09,21.92,Completed,Card,2023-01-01 00:40:00,2023-01-01,0,Sunday,Night (0-6),24.27,2.7095,Weekend,Premium
42,3612,25966,Los Angeles,9.07,21.72,Completed,Wallet,2023-01-01 00:41:00,2023-01-01,0,Sunday,Night (0-6),27.22,2.3947,Weekend,Premium
43,8041,14258,Los Angeles,10.21,16.31,Completed,Card,2023-01-01 00:42:00,2023-01-01,0,Sunday,Night (0-6),30.63,1.5975,Weekend,Standard
44,7235,16923,New York,12.02,27.82,Completed,Wallet,2023-01-01 00:43:00,2023-01-01,0,Sunday,Night (0-6),36.07,2.3145,Weekend,Premium
45,6486,35605,Boston,12.4,24.29,Cancelled,Cash,2023-01-01 00:44:00,2023-01-01,0,Sunday,Night (0-6),37.2,1.9589,Weekend,Premium
46,8099,44092,San Francisco,1.99,5.48,No-Show,Wallet,2023-01-01 00:45:00,2023-01-01,0,Sunday,Night (0-6),5.97,2.7538,Weekend,Budget
47,1775,42868,Los Angeles,4.49,12.8,Completed,Wallet,2023-01-01 00:46:00,2023-01-01,0,Sunday,Night (0-6),13.47,2.8508,Weekend,Budget
48,9226,26799,Los Angeles,6.86,19.92,No-Show,UPI,2023-01-01 00:47:00,2023-01-01,0,Sunday,Night (0-6),20.58,2.9038,Weekend,Premium
49,4152,96979,Boston,4.62,10.52,Completed,Cash,2023-01-01 00:48:00,2023-01-01,0,Sunday,Night (0-6),13.87,2.2771,Weekend,Budget
50,2585,85111,New York,12.27,24.77,Cancelled,UPI,2023-01-01 00:49:00,2023-01-01,0,Sunday,Night (0-6),36.82,2.0187,Weekend,Premium
51,4943,56210,New York,9.45,15.87,Completed,Card,2023-01-01 00:50:00,2023-01-01,0,Sunday,Night (0-6),28.35,1.6794,Weekend,Standard
52,8555,25230,New York,7.43,20.51,Completed,Wallet,2023-01-01 00:51:00,2023-01-01,0,Sunday,Night (0-6),22.28,2.7604,Weekend,Premium
53,4073,28130,Los Angeles,8.35,23.61,Completed,UPI,2023-01-01 00:52:00,2023-01-01,0,Sunday,Night (0-6),25.05,2.8275,Weekend,Premium
54,2021,30875,Los Angeles,3.98,10.12,Completed,Cash,2023-01-01 00:53:00,2023-01-01,0,Sunday,Night (0-6),11.93,2.5427,Weekend,Budget
55,4843,72908,Los Angeles,10.94,28.99,Completed,Card,2023-01-01 00:54:00,2023-01-01,0,Sunday,Night (0-6),32.82,2.6499,Weekend,Premium
56,8989,90163,Seattle,8.24,19.03,Completed,UPI,2023-01-01 00:55:00,2023-01-01,0,Sunday,Night (0-6),24.72,2.3095,Weekend,Premium
57,7873,34041,Seattle,6.74,15.99,Completed,Wallet,2023-01-01 00:56:00,2023-01-01,0,Sunday,Night (0-6),20.22,2.3724,Weekend,Standard
58,6675,14443,Los Angeles,10.95,16.44,Completed,UPI,2023-01-01 00:57:00,2023-01-01,0,Sunday,Night (0-6),32.85,1.5014,Weekend,Standard
59,1161,19480,Los Angeles,7.75,17.34,Completed,Cash,2023-01-01 00:58:00,2023-01-01,0,Sunday,Night (0-6),23.25,2.2374,Weekend,Standard
60,5297,64012,Los Angeles,9.34,27.04,Cancelled,Wallet,2023-01-01 00:59:00,2023-01-01,0,Sunday,Night (0-6),28.02,2.8951,Weekend,Premium
61,1995,71483,Chicago,0.37,5.22,Completed,Wallet,2023-01-01 01:00:00,2023-01-01,1,Sunday,Night (0-6),1.12,14.1081,Weekend,Budget
62,8629,14170,Seattle,4.4,8.95,Completed,Card,2023-01-01 01:01:00,2023-01-01,1,Sunday,Night (0-6),13.2,2.0341,Weekend,Budget
63,2016,98129,San Francisco,3.5,10.02,No-Show,Cash,2023-01-01 01:02:00,2023-01-01,1,Sunday,Night (0-6),10.5,2.8629,Weekend,Budget
64,8869,42805,New York,3.52,10.76,Completed,Cash,2023-01-01 01:03:00,2023-01-01,1,Sunday,Night (0-6),10.57,3.0568,Weekend,Budget
65,7439,51725,San Francisco,7.03,18.65,No-Show,Card,2023-01-01 01:04:00,2023-01-01,1,Sunday,Night (0-6),21.08,2.6529,Weekend,Premium
66,8892,54837,Seattle,12.71,31.17,Completed,Card,2023-01-01 01:05:00,2023-01-01,1,Sunday,Night (0-6),38.13,2.4524,Weekend,Premium
67,7863,53424,Boston,4.17,12.04,Cancelled,UPI,2023-01-01 01:06:00,2023-01-01,1,Sunday,Night (0-6),12.52,2.8873,Weekend,Budget
68,8916,14806,New York,9.15,14.33,Completed,Wallet,2023-01-01 01:07:00,2023-01-01,1,Sunday,Night (0-6),27.45,1.5661,Weekend,Standard
69,9529,47611,Seattle,12.07,18.71,Completed,Cash,2023-01-01 01:08:00,2023-01-01,1,Sunday,Night (0-6),36.22,1.5501,Weekend,Premium
70,1878,26662,New York,13.15,20.62,Cancelled,Wallet,2023-01-01 01:09:00,2023-01-01,1,Sunday,Night (0-6),39.45,1.5681,Weekend,Premium
71,5887,59605,Los Angeles,5.18,11.08,Completed,Wallet,2023-01-01 01:10:00,2023-01-01,1,Sunday,Night (0-6),15.53,2.139,Weekend,Budget
72,5859,96623,Los Angeles,11.33,28.91,Completed,Cash,2023-01-01 01:11:00,2023-01-01,1,Sunday,Night (0-6),33.98,2.5516,Weekend,Premium
73,7331,56128,Boston,10.69,29.77,No-Show,Cash,2023-01-01 01:12:00,2023-01-01,1,Sunday,Night (0-6),32.07,2.7848,Weekend,Premium
74,9571,30848,San Francisco,10.31,14.94,Completed,Wallet,2023-01-01 01:13:00,2023-01-01,1,Sunday,Night (0-6),30.93,1.4491,Weekend,Standard
75,9684,59452,San Francisco,1.99,5.31,Cancelled,UPI,2023-01-01 01:14:00,2023-01-01,1,Sunday,Night (0-6),5.97,2.6683,Weekend,Budget
76,8208,16042,San Francisco,6.04,9.51,Cancelled,UPI,2023-01-01 01:15:00,2023-01-01,1,Sunday,Night (0-6),18.12,1.5745,Weekend,Budget
77,6276,80602,Boston,8.19,23.71,Completed,Cash,2023-01-01 01:16:00,2023-01-01,1,Sunday,Night (0-6),24.57,2.895,Weekend,Premium
78,3062,76864,Chicago,10.2,15.66,Cancelled,Card,2023-01-01 01:17:00,2023-01-01,1,Sunday,Night (0-6),30.6,1.5353,Weekend,Standard
79,1064,81929,San Francisco,7.66,17.76,Cancelled,Cash,2023-01-01 01:18:00,2023-01-01,1,Sunday,Night (0-6),22.98,2.3185,Weekend,Standard
80,9006,69323,New York,8.41,16.51,Completed,Card,2023-01-01 01:19:00,2023-01-01,1,Sunday,Night (0-6),25.23,1.9631,Weekend,Standard
81,3568,89297,New York,8.77,22.24,Completed,Card,2023-01-01 01:20:00,2023-01-01,1,Sunday,Night (0-6),26.32,2.5359,Weekend,Premium
82,6463,24182,Los Angeles,5.18,10.83,Completed,Card,2023-01-01 01:21:00,2023-01-01,1,Sunday,Night (0-6),15.53,2.0907,Weekend,Budget
83,3027,24394,Seattle,4.6,8.52,Cancelled,UPI,2023-01-01 01:22:00,2023-01-01,1,Sunday,Night (0-6),13.8,1.8522,Weekend,Budget
84,3695,66540,Los Angeles,9.18,21.84,Cancelled,UPI,2023-01-01 01:23:00,2023-01-01,1,Sunday,Night (0-6),27.53,2.3791,Weekend,Premium
85,6258,23883,San Francisco,4.37,10.57,No-Show,Wallet,2023-01-01 01:24:00,2023-01-01,1,Sunday,Night (0-6),13.12,2.4188,Weekend,Budget
86,6618,27941,San Francisco,1.82,7.01,Completed,Wallet,2023-01-01 01:25:00,2023-01-01,1,Sunday,Night (0-6),5.47,3.8516,Weekend,Budget
87,7736,32360,Los Angeles,7.29,18.83,Cancelled,Wallet,2023-01-01 01:26:00,2023-01-01,1,Sunday,Night (0-6),21.87,2.583,Weekend,Premium
88,1391,66681,Seattle,6.97,19.52,Completed,Card,2023-01-01 01:27:00,2023-01-01,1,Sunday,Night (0-6),20.92,2.8006,Weekend,Premium
89,6892,74048,New York,2.96,4.97,Completed,UPI,2023-01-01 01:28:00,2023-01-01,1,Sunday,Night (0-6),8.88,1.6791,Weekend,Budget
90,4561,66271,Seattle,10.48,25.39,Completed,Wallet,2023-01-01 01:29:00,2023-01-01,1,Sunday,Night (0-6),31.43,2.4227,Weekend,Premium
91,7184,18720,Boston,4.27,13.48,Completed,Card,2023-01-01 01:30:00,2023-01-01,1,Sunday,Night (0-6),12.82,3.1569,Weekend,Standard
92,4099,84225,Boston,4.29,12.96,Completed,Wallet,2023-01-01 01:31:00,2023-01-01,1,Sunday,Night (0-6),12.87,3.021,Weekend,Standard
93,7278,49550,Boston,1.76,6.65,Completed,Card,2023-01-01 01:32:00,2023-01-01,1,Sunday,Night (0-6),5.28,3.7784,Weekend,Budget
94,9392,82682,San Francisco,6.13,11.34,Completed,Wallet,2023-01-01 01:33:00,2023-01-01,1,Sunday,Night (0-6),18.38,1.8499,Weekend,Budget
95,4104,17914,Boston,7.32,19.38,Cancelled,UPI,2023-01-01 01:34:00,2023-01-01,1,Sunday,Night (0-6),21.97,2.6475,Weekend,Premium
96,8215,72953,Chicago,7.91,18.68,Completed,Card,2023-01-01 01:35:00,2023-01-01,1,Sunday,Night (0-6),23.73,2.3616,Weekend,Premium
97,3454,94765,Seattle,6.8,15.13,Completed,Cash,2023-01-01 01:36:00,2023-01-01,1,Sunday,Night (0-6),20.4,2.225,Weekend,Standard
98,9996,61277,San Francisco,2.15,9.22,Cancelled,Wallet,2023-01-01 01:37:00,2023-01-01,1,Sunday,Night (0-6),6.45,4.2884,Weekend,Budget
99,3731,82877,Seattle,4.98,13.58,No-Show,Wallet,2023-01-01 01:38:00,2023-01-01,1,Sunday,Night (0-6),14.93,2.7269,Weekend,Standard
100,9154,75129,Chicago,5.59,14.51,Completed,Card,2023-01-01 01:39:00,2023-01-01,1,Sunday,Night (0-6),16.77,2.5957,Weekend,Standard
101,6056,25391,San Francisco,13.45,28.31,Completed,Card,2023-01-01 01:40:00,2023-01-01,1,Sunday,Night (0-6),40.35,2.1048,Weekend,Premium
102,9110,39285,San Francisco,5.92,15.82,Completed,UPI,2023-01-01 01:41:00,2023-01-01,1,Sunday,Night (0-6),17.77,2.6723,Weekend,Standard
103,4840,46106,Boston,9.45,15.35,Completed,Cash,2023-01-01 01:42:00,2023-01-01,1,Sunday,Night (0-6),28.35,1.6243,Weekend,Standard
104,2028,67588,San Francisco,7.89,11.77,Completed,UPI,2023-01-01 01:43:00,2023-01-01,1,Sunday,Night (0-6),23.67,1.4918,Weekend,Budget
105,8385,76405,Chicago,6.88,11.48,Completed,Cash,2023-01-01 01:44:00,2023-01-01,1,Sunday,Night (0-6),20.63,1.6686,Weekend,Budget
106,1502,82320,Seattle,9.84,24.36,Completed,Wallet,2023-01-01 01:45:00,2023-01-01,1,Sunday,Night (0-6),29.52,2.4756,Weekend,Premium
107,7910,96029,New York,5.81,9.97,Completed,UPI,2023-01-01 01:46:00,2023-01-01,1,Sunday,Night (0-6),17.43,1.716,Weekend,Budget
108,7938,17042,Chicago,10.83,29.34,Completed,Wallet,2023-01-01 01:47:00,2023-01-01,1,Sunday,Night (0-6),32.48,2.7091,Weekend,Premium
109,5488,76221,Los Angeles,6.37,14.54,Completed,Card,2023-01-01 01:48:00,2023-01-01,1,Sunday,Night (0-6),19.12,2.2826,Weekend,Standard
110,1206,91293,Seattle,8.47,20.19,Completed,Card,2023-01-01 01:49:00,2023-01-01,1,Sunday,Night (0-6),25.42,2.3837,Weekend,Premium
111,6134,61126,San Francisco,3.8,10.07,Completed,UPI,2023-01-01 01:50:00,2023-01-01,1,Sunday,Night (0-6),11.4,2.65,Weekend,Budget
112,6977,66746,Chicago,8.59,21.83,Completed,Wallet,2023-01-01 01:51:00,2023-01-01,1,Sunday,Night (0-6),25.77,2.5413,Weekend,Premium
113,8721,85112,Boston,7.22,14.27,Completed,Wallet,2023-01-01 01:52:00,2023-01-01,1,Sunday,Night (0-6),21.67,1.9765,Weekend,Standard
114,8035,96058,Los Angeles,5.54,9.27,No-Show,Cash,2023-01-01 01:53:00,2023-01-01,1,Sunday,Night (0-6),16.62,1.6733,Weekend,Budget
115,2484,41340,New York,5.66,15.31,Completed,Card,2023-01-01 01:54:00,2023-01-01,1,Sunday,Night (0-6),16.98,2.7049,Weekend,Standard
116,8858,33793,Chicago,3.96,12.02,Completed,Card,2023-01-01 01:55:00,2023-01-01,1,Sunday,Night (0-6),11.88,3.0354,Weekend,Budget
117,1863,70470,Chicago,3.8,10.55,Completed,UPI,2023-01-01 01:56:00,2023-01-01,1,Sunday,Night (0-6),11.4,2.7763,Weekend,Budget
118,3790,26950,Chicago,9.34,15.66,Completed,Card,2023-01-01 01:57:00,2023-01-01,1,Sunday,Night (0-6),28.02,1.6767,Weekend,Standard
119,8408,38493,Los Angeles,0.05,4.92,Completed,Card,2023-01-01 01:58:00,2023-01-01,1,Sunday,Night (0-6),0.15,98.4,Weekend,Budget
120,9755,85193,Boston,5.06,12.72,Completed,Wallet,2023-01-01 01:59:00,2023-01-01,1,Sunday,Night (0-6),15.18,2.5138,Weekend,Budget
121,6116,87930,Los Angeles,7.24,16.38,Completed,UPI,2023-01-01 02:00:00,2023-01-01,2,Sunday,Night (0-6),21.72,2.2624,Weekend,Standard
122,7019,70914,Boston,11.21,17.3,Completed,Cash,2023-01-01 02:01:00,2023-01-01,2,Sunday,Night (0-6),33.63,1.5433,Weekend,Standard
123,2757,45233,Boston,5.56,11.62,Completed,UPI,2023-01-01 02:02:00,2023-01-01,2,Sunday,Night (0-6),16.68,2.0899,Weekend,Budget
124,8574,41039,New York,8.23,22.23,Completed,Cash,2023-01-01 02:03:00,2023-01-01,2,Sunday,Night (0-6),24.68,2.7011,Weekend,Premium
125,7374,14348,San Francisco,5.34,12.85,Completed,Card,2023-01-01 02:04:00,2023-01-01,2,Sunday,Night (0-6),16.02,2.4064,Weekend,Budget
126,7892,13926,Seattle,5.19,12.74,Cancelled,Cash,2023-01-01 02:05:00,2023-01-01,2,Sunday,Night (0-6),15.57,2.4547,Weekend,Budget
127,2678,33943,San Francisco,7.0,13.76,Completed,Cash,2023-01-01 02:06:00,2023-01-01,2,Sunday,Night (0-6),21.0,1.9657,Weekend,Standard
128,4242,87241,Chicago,13.27,36.72,Cancelled,Card,2023-01-01 02:07:00,2023-01-01,2,Sunday,Night (0-6),39.82,2.7671,Weekend,Premium
129,5636,79546,San Francisco,11.38,26.7,Completed,Wallet,2023-01-01 02:08:00,2023-01-01,2,Sunday,Night (0-6),34.13,2.3462,Weekend,Premium
130,2059,11400,Seattle,6.36,16.01,Completed,Card,2023-01-01 02:09:00,2023-01-01,2,Sunday,Night (0-6),19.08,2.5173,Weekend,Standard
131,7668,92660,Chicago,2.35,5.05,Completed,Wallet,2023-01-01 02:10:00,2023-01-01,2,Sunday,Night (0-6),7.05,2.1489,Weekend,Budget
132,4157,27086,Los Angeles,4.71,14.49,Completed,Cash,2023-01-01 02:11:00,2023-01-01,2,Sunday,Night (0-6),14.13,3.0764,Weekend,Standard
133,6915,16255,San Francisco,11.39,21.1,Completed,Cash,2023-01-01 02:12:00,2023-01-01,2,Sunday,Night (0-6),34.17,1.8525,Weekend,Premium
134,3693,47156,New York,9.8,19.53,Cancelled,Card,2023-01-01 02:13:00,2023-01-01,2,Sunday,Night (0-6),29.4,1.9929,Weekend,Premium
135,4627,51915,New York,7.74,19.14,Completed,UPI,2023-01-01 02:14:00,2023-01-01,2,Sunday,Night (0-6),23.22,2.4729,Weekend,Premium
136,6450,35449,New York,5.6,14.91,Completed,UPI,2023-01-01 02:15:00,2023-01-01,2,Sunday,Night (0-6),16.8,2.6625,Weekend,Standard
137,2663,42765,Los Angeles,1.53,5.77,Completed,Cash,2023-01-01 02:16:00,2023-01-01,2,Sunday,Night (0-6),4.58,3.7712,Weekend,Budget
138,6592,82663,Chicago,7.5,21.21,Completed,UPI,2023-01-01 02:17:00,2023-01-01,2,Sunday,Night (0-6),22.5,2.828,Weekend,Premium
139,8392,70722,Los Angeles,7.35,19.6,Completed,Cash,2023-01-01 02:18:00,2023-01-01,2,Sunday,Night (0-6),22.05,2.6667,Weekend,Premium
140,2306,44588,Los Angeles,9.69,16.4,Completed,Card,2023-01-01 02:19:00,2023-01-01,2,Sunday,Night (0-6),29.07,1.6925,Weekend,Standard
141,7776,34290,Los Angeles,9.87,27.16,Completed,Wallet,2023-01-01 02:20:00,2023-01-01,2,Sunday,Night (0-6),29.62,2.7518,Weekend,Premium
142,6864,63896,Boston,9.88,21.3,Completed,Cash,2023-01-01 02:21:00,2023-01-01,2,Sunday,Night (0-6),29.63,2.1559,Weekend,Premium
143,8526,41699,Los Angeles,7.81,23.46,Completed,Card,2023-01-01 02:22:00,2023-01-01,2,Sunday,Night (0-6),23.43,3.0038,Weekend,Premium
144,9901,27763,San Francisco,8.18,23.03,Completed,UPI,2023-01-01 02:23:00,2023-01-01,2,Sunday,Night (0-6),24.53,2.8154,Weekend,Premium
145,6575,72923,Chicago,3.34,6.69,Completed,Card,2023-01-01 02:24:00,2023-01-01,2,Sunday,Night (0-6),10.02,2.003,Weekend,Budget
146,6530,67622,New York,11.17,26.03,Completed,Card,2023-01-01 02:25:00,2023-01-01,2,Sunday,Night (0-6),33.52,2.3303,Weekend,Premium
147,5413,99958,Seattle,6.56,15.47,Completed,Card,2023-01-01 02:26:00,2023-01-01,2,Sunday,Night (0-6),19.68,2.3582,Weekend,Standard
148,4748,14347,Boston,8.55,17.13,Completed,Card,2023-01-01 02:27:00,2023-01-01,2,Sunday,Night (0-6),25.65,2.0035,Weekend,Standard
149,1663,35607,Chicago,8.99,19.3,Completed,Cash,2023-01-01 02:28:00,2023-01-01,2,Sunday,Night (0-6),26.97,2.1468,Weekend,Premium
150,2998,39257,Chicago,8.63,18.69,Completed,Card,2023-01-01 02:29:00,2023-01-01,2,Sunday,Night (0-6),25.88,2.1657,Weekend,Premium
151,8994,93263,Los Angeles,0.95,2.57,Completed,Cash,2023-01-01 02:30:00,2023-01-01,2,Sunday,Night (0-6),2.85,2.7053,Weekend,Budget
152,2495,31654,New York,9.53,22.09,Completed,UPI,2023-01-01 02:31:00,2023-01-01,2,Sunday,Night (0-6),28.58,2.3179,Weekend,Premium
153,4304,92524,Chicago,9.67,25.2,No-Show,Wallet,2023-01-01 02:32:00,2023-01-01,2,Sunday,Night (0-6),29.02,2.606,Weekend,Premium
154,4763,32903,San Francisco,0.58,5.71,Completed,Wallet,2023-01-01 02:33:00,2023-01-01,2,Sunday,Night (0-6),1.73,9.8448,Weekend,Budget
155,6232,20847,New York,4.98,11.4,Completed,Cash,2023-01-01 02:34:00,2023-01-01,2,Sunday,Night (0-6),14.93,2.2892,Weekend,Budget
156,2853,98503,San Francisco,9.16,16.09,No-Show,Wallet,2023-01-01 02:35:00,2023-01-01,2,Sunday,Night (0-6),27.48,1.7566,Weekend,Standard
157,7585,57245,Boston,2.82,8.0,Completed,Wallet,2023-01-01 02:36:00,2023-01-01,2,Sunday,Night (0-6),8.47,2.8369,Weekend,Budget
158,2291,10591,Chicago,8.18,19.22,Completed,Card,2023-01-01 02:37:00,2023-01-01,2,Sunday,Night (0-6),24.53,2.3496,Weekend,Premium
159,4581,34422,Boston,3.89,12.46,Completed,Wallet,2023-01-01 02:38:00,2023-01-01,2,Sunday,Night (0-6),11.67,3.2031,Weekend,Budget
160,8554,73215,San Francisco,1.23,4.42,Completed,Cash,2023-01-01 02:39:00,2023-01-01,2,Sunday,Night (0-6),3.68,3.5935,Weekend,Budget
161,8280,65315,Boston,10.88,23.25,Completed,Wallet,2023-01-01 02:40:00,2023-01-01,2,Sunday,Night (0-6),32.63,2.1369,Weekend,Premium
162,2636,95874,San Francisco,7.01,15.6,Completed,Card,2023-01-01 02:41:00,2023-01-01,2,Sunday,Night (0-6),21.03,2.2254,Weekend,Standard
163,4696,57048,Los Angeles,6.52,16.47,Completed,Wallet,2023-01-01 02:42:00,2023-01-01,2,Sunday,Night (0-6),19.57,2.5261,Weekend,Standard
164,1698,49547,Los Angeles,4.73,14.96,Completed,Wallet,2023-01-01 02:43:00,2023-01-01,2,Sunday,Night (0-6),14.18,3.1628,Weekend,Standard
165,5737,77812,Boston,5.18,9.44,Cancelled,UPI,2023-01-01 02:44:00,2023-01-01,2,Sunday,Night (0-6),15.53,1.8224,Weekend,Budget
166,1854,37220,Seattle,8.14,18.89,Completed,Cash,2023-01-01 02:45:00,2023-01-01,2,Sunday,Night (0-6),24.42,2.3206,Weekend,Premium
167,9164,71417,Seattle,8.35,19.16,Completed,UPI,2023-01-01 02:46:00,2023-01-01,2,Sunday,Night (0-6),25.05,2.2946,Weekend,Premium
168,6855,49844,San Francisco,11.44,23.13,Completed,UPI,2023-01-01 02:47:00,2023-01-01,2,Sunday,Night (0-6),34.32,2.0219,Weekend,Premium
169,8392,93996,Chicago,5.28,9.29,Completed,UPI,2023-01-01 02:48:00,2023-01-01,2,Sunday,Night (0-6),15.83,1.7595,Weekend,Budget
